All device pins and their pinmux options
Pin,Name,Selected Mode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,GPIO28,SCIA_RX,GPIO28,SCIA_RX,,EPWM7_A,GPIO28,OUTPUTXBAR5,EQEP1_A,SD2_D3,GPIO28,EQEP2_STROBE,LINA_TX,SPIB_CLK,GPIO28,ERRORSTS,I2CB_SDA,HIC_NOE
2,XRSn,XRSn
3,VDDIO,VDDIO
4,VDD,VDD
5,VSS,VSS
6,GPIO47,,GPIO47,,,LINA_RX,GPIO47,MCAN_RX,,CLB_OUTPUTXBAR2,GPIO47,PMBUSA_SCL,,,GPIO47,SD2_D4,FSITXA_TDM_CLK,HIC_A6
7,GPIO48,,GPIO48,OUTPUTXBAR3,,CANA_TX,GPIO48,,SCIA_TX,SD1_D1,GPIO48,PMBUSA_SDA,,,GPIO48,,,HIC_A7
8,GPIO49,,GPIO49,OUTPUTXBAR4,,CANA_RX,GPIO49,,SCIA_RX,SD1_C1,GPIO49,LINA_RX,,,GPIO49,SD2_D1,FSITXA_D0,HIC_D2
9,GPIO50,,GPIO50,EQEP1_A,,,GPIO50,MCAN_TX,SPIB_SIMO,SD1_D2,GPIO50,I2CB_SDA,,,GPIO50,SD2_D2,FSITXA_D1,HIC_D3
10,GPIO51,,GPIO51,EQEP1_B,,,GPIO51,MCAN_RX,SPIB_SOMI,SD1_C2,GPIO51,I2CB_SCL,,,GPIO51,SD2_D3,FSITXA_CLK,HIC_D6
11,GPIO52,,GPIO52,EQEP1_STROBE,,,GPIO52,CLB_OUTPUTXBAR5,SPIB_CLK,SD1_D3,GPIO52,SYNCOUT,,,GPIO52,SD2_D4,FSIRXA_D0,HIC_NWE
12,GPIO53,,GPIO53,EQEP1_INDEX,,,GPIO53,CLB_OUTPUTXBAR6,SPIB_STE,SD1_C3,GPIO53,ADCSOCAO,CANA_RX,,GPIO53,SD1_C1,FSIRXA_D1,
13,GPIO54,,GPIO54,SPIA_SIMO,,,GPIO54,EQEP2_A,OUTPUTXBAR2,SD1_D4,GPIO54,ADCSOCBO,LINB_TX,,GPIO54,SD1_C2,FSIRXA_CLK,FSITXA_TDM_D1
14,A6,,AIO228,,SD2_C1,,AIO228,,,,AIO228,,,,AIO228,,,HIC_A0
15,B2/C6,,AIO226,,SD2_D4,,AIO226,,,,AIO226,,,,AIO226,,,HIC_A1
16,B3/VDAC,,AIO242,,SD2_D2,,AIO242,,,,AIO242,,,,AIO242,,,HIC_A2
17,A2/B6/C9,,AIO224,,SD2_D3,,AIO224,,,,AIO224,,,,AIO224,,,HIC_A3
18,A3/ C7/B9,,AIO229,,,,AIO229,,,,AIO229,,,,AIO229,,,
19,A14/B14/C4,,AIO239,,SD1_D1,,AIO239,,,,AIO239,,,,AIO239,,,HIC_A5
20,A11/B10/C0,,AIO237,,SD1_D2,,AIO237,,,,AIO237,,,,AIO237,,,HIC_A6
21,C2/B12,,AIO244,,SD1_D3,,AIO244,,,,AIO244,,,,AIO244,,,HIC_A7
22,A1/B7/DACB_OUT,,AIO232,,SD1_D4,,AIO232,,,,AIO232,,,,AIO232,,,HIC_BASESEL0
23,A0/B15/C15/DACA_OUT,,AIO231,,SD1_C1,,AIO231,,,,AIO231,,,,AIO231,,,HIC_BASESEL1
24,VREFHI,VREFHI
25,VREFHI,VREFHI
26,VREFLO,VREFLO
27,VREFLO,VREFLO
28,A12/ C5,,AIO238,,SD2_C3,,AIO238,,,,AIO238,,,,AIO238,,,HIC_NCS
29,C1,,AIO248,,,,AIO248,,,,AIO248,,,,AIO248,,,
30,B11,,AIO251,,,,AIO251,,,,AIO251,,,,AIO251,,,
31,C3/A7,,AIO245,,SD1_C2,,AIO245,,,,AIO245,,,,AIO245,,,HIC_NOE
32,B5,,AIO252,,SD2_C4,,AIO252,,,,AIO252,,,,AIO252,,,
33,VSSA,VSSA
34,VDDA,VDDA
35,A5,,AIO249,,,,AIO249,,,,AIO249,,,,AIO249,,,
36,A4/B8,,AIO225,,SD2_C2,,AIO225,,,,AIO225,,,,AIO225,,,HIC_NWE
37,A8,,AIO240,,SD2_C1,,AIO240,,,,AIO240,,,,AIO240,,,HIC_NBE1
38,A9,,AIO227,,SD1_C3,,AIO227,,,,AIO227,,,,AIO227,,,HIC_NBE0
39,B4/C8,,AIO236,,,,AIO236,,,,AIO236,,,,AIO236,,,
40,A10/B1/C10,,AIO230,,SD1_C4,,AIO230,,,,AIO230,,,,AIO230,,,HIC_BASESEL2
41,B0/C11,,AIO253,,,,AIO253,,,,AIO253,,,,AIO253,,,
42,C14,,AIO247,,,,AIO247,,,,AIO247,,,,AIO247,,,
43,GPIO55,,GPIO55,SPIA_SOMI,,,GPIO55,EQEP2_B,OUTPUTXBAR3,SD1_C4,GPIO55,ERRORSTS,LINB_RX,,GPIO55,SD1_C3,,HIC_A0
44,GPIO60,,GPIO60,,,MCAN_TX,GPIO60,OUTPUTXBAR3,SPIB_SIMO,SD2_D3,GPIO60,,,,GPIO60,SD2_C4,,HIC_A0
45,VSS,VSS
46,VDD,VDD
47,VDDIO,VDDIO
48,B5/ GPIO20,GPIO20,GPIO20,EQEP1_A,,,GPIO20,,SPIB_SIMO,SD1_D3,GPIO20,MCAN_TX,,,GPIO20,,,
